Name,Specs,Price
Huawei MateBook Fold Laptop (32GB/ 2TB SSD/ HarmonyOS 5),"32 GB RAM
2 TB SSD
18 inches, 3296 x 2472 pixels, Touch Screen","₹3,19,930"
Lenovo V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),"7th Gen AMD Ryzen 7 7730U
Octa Core, 16 Threads
16 GB DDR4 RAM
512 GB SSD
AMD Radeon Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹33,999"
Dell Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),"8th Gen Intel Core i7 8650u
Quad Core, 8 Threads
8 GB DDR4 RAM
256 GB SSD
Intel UHD 620
13.3 inches, 1920 x 1080 pixels
Windows 10 OS
1 Year Warranty","₹21,995"
HP Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),"13th Gen Intel Core i5 13420H
Octa Core (4P + 4E), 12 Threads
16 GB DDR4 RAM
512 GB SSD
6 GB NVIDIA GeForce RTX 4050
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹68,841"
Lenovo LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),"12th Gen Intel Core i7 12650HX
14 Cores (6P + 8E), 20 Threads
12 GB DDR5 RAM
512 GB SSD
6 GB NVIDIA GeForce RTX 4050
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹70,990"
Asus Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"13th Gen Intel Core i5 1334U
10 Cores (2P + 8E), 12 Threads
8 GB DDR4 RAM
512 GB SSD
Integrated Intel Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹40,904"
HP 255 G10 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),"7th Gen AMD Ryzen 5 7520U
Quad Core, 8 Threads
8 GB DDR4 RAM
512 GB SSD
AMD Radeon Graphics
15.6 inches, 1366 x 768 pixels
Windows 11 OS
1 Year Warranty","₹27,690"
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),"Apple M4
10 Cores (4P + 6E)
16 GB RAM
256 GB SSD
Apple 8 Core GPU
13.6 inches, 2560 x 1664 pixels
Mac OS
1 Year Warranty","₹91,990"
Asus Vivobook 16X K3605ZF-RP458WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX2050),"12th Gen Intel Core i5 12500H
12 Cores (4P + 8E), 16 Threads
16 GB DDR4 RAM
512 GB SSD
4 GB NVIDIA GeForce RTX 2050
16 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹56,990"
Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),"13th Gen Intel Core i3 1315U
Hexa Core (2P + 4E), 8 Threads
8 GB LPDDR4x RAM
512 GB SSD
Intel Graphics
15.6 inches, 1920 x 1080 pixels
Windows 11 OS
1 Year Warranty","₹37,990"
Asus Vivobook 16 X1605ZAC-MB540WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"12th Gen Intel Core i5 12500H
12 Cores (4P + 8E), 16 Threads
16 GB DDR4 RAM
512 GB SSD
Intel Iris Xe Graphics
16 inches, 1920 x 1200 pixels
Windows 11 OS
1 Year Warranty","₹45,814"
